transactionid,trade_time,total_price,house_id,agent_id
2.02E+11,20160921,569,400542,10455
2.02E+11,20160922,625,300543,10455
2.02E+11,20160922,725,800544,10455
2.02E+11,20160925,575,700545,10455
2.02E+11,20160928,610,200546,10455
2.02E+11,20160929,720,200547,10455
2.02E+11,20160929,661.8,300548,10455
2.02E+11,20160929,560,700549,10455
2.02E+11,20161007,580,900550,10455
2.02E+11,20161021,568,500551,10455
2.02E+11,20161024,630,200552,10455
2.02E+11,20161025,645,700553,10455
2.02E+11,20160803,350,300554,11289
2.02E+11,20161004,495,800555,11289
2.02E+11,20160711,431,600556,11009
2.02E+11,20160818,570,700557,12074
2.02E+11,20160827,1090,600558,10275
2.02E+11,20160824,605,700559,11979
2.02E+11,20160905,575,400560,11979
2.02E+11,20160825,802,400561,10009
2.02E+11,20160914,619,200562,11222
2.02E+11,20160920,900,800563,11647
2.02E+11,20160620,225,400564,11009
2.02E+11,20160907,345,100565,11647
2.02E+11,20160620,240,800566,12074
2.02E+11,20160921,1880,800567,10275
2.02E+11,20160719,733,700568,11979
2.02E+11,20160730,518,300569,11979
2.02E+11,20160825,625,600570,11979
2.02E+11,20160831,598,800571,11979
2.02E+11,20160705,225,200572,12074
2.02E+11,20160829,505,900573,11979
2.02E+11,20160830,310,400574,11979
2.02E+11,20160911,860,300575,11222
2.02E+11,20160917,332,700576,11222
2.02E+11,20160619,404.5,500577,10918
2.02E+11,20160728,585,700578,11222
2.02E+11,20160817,550,400579,11222
2.02E+11,20160923,590,200580,11289
2.02E+11,20161109,600,300581,10275
2.02E+11,20161109,463.8,800582,10275
2.02E+11,20160629,532,800583,11001
2.02E+11,20160707,920,400584,10555
2.02E+11,20160715,650,200585,10555
2.02E+11,20160729,590,600586,10009
2.02E+11,20160910,678,800587,10275
2.02E+11,20160630,390,300588,11009
2.02E+11,20160707,533,400589,11222
2.02E+11,20160715,600,600590,10275
2.02E+11,20160823,537,700591,11647
2.02E+11,20160823,492,700592,11647
2.02E+11,20160716,485,300593,11009
2.02E+11,20160820,690,800594,11222
2.02E+11,20160827,472,300595,10275
2.02E+11,20160615,780,800596,10275
2.02E+11,20170119,1100,500597,11289
2.02E+11,20170213,880,900598,11647
2.02E+11,20160713,270,700599,10555
2.02E+11,20160725,228,100600,10555
2.02E+11,20160822,188,800601,10009
2.02E+11,20160823,230,600602,11009
2.02E+11,20160829,238.8,200603,11222
2.02E+11,20160917,248,900604,11289
2.02E+11,20161120,280,300605,11647
2.02E+11,20161215,480,600606,10275
2.02E+11,20160727,380,500607,11979
2.02E+11,20160729,430,100608,11979
2.02E+11,20160708,420,200609,12074
2.02E+11,20160725,982.5,900610,10275
2.02E+11,20160806,280,400611,11009
2.02E+11,20160921,525,400612,11647
2.02E+11,20160803,392,400613,11289
2.02E+11,20160831,480,100614,10275
2.02E+11,20160626,600,400615,11222
2.02E+11,20160709,356.2,900616,11222
2.02E+11,20160726,650,100617,11647
2.02E+11,20160710,268,600618,12074
2.02E+11,20160721,297,800619,12074
2.02E+11,20160808,320.5,600620,12074
2.02E+11,20160822,297,100621,12074
2.02E+11,20160822,337,500622,12074
2.02E+11,20160831,265,900623,12074
2.02E+11,20160627,248,400624,11979
