"r$house.id","r$square","house_type.id","buildingType","constructionTime","renovationCondition","floor","ladderRatio","as.character(r$cjxiaoqu)"
530420,71,2111,4,2000,3,2,0.5,"富力信然庭"
230421,91.66,1111,4,2011,4,11,0.25,"广安门南街"
430422,50.42,1111,4,2003,4,6,0.25,"骡马市大街"
930423,47.4,1111,4,2003,4,6,0.25,"骡马市大街"
430424,51.25,1111,4,2002,4,6,0.25,"骡马市大街"
730425,55.2,2111,3,1980,2,12,1,"美丽愿景"
130426,115.53,3111,1,2000,3,21,0.083,"儒福里"
230427,70.17,1111,1,2000,3,21,0.083,"儒福里"
130428,159.19,3212,3,2004,1,18,0.5,"太街甲乙院"
430429,213.47,3212,3,2004,3,20,1,"太街甲乙院"
930430,214.03,3214,3,2004,1,20,1,"太街甲乙院"
530431,60.19,2111,4,1986,3,6,0.5,"天坛东里南区"
230432,42.46,1111,4,1990,3,6,0.333,"车站路院"
130433,67.3,1111,4,2005,4,32,0.667,"蒲黄榆路"
630434,162,4212,4,2006,3,6,0.5,"耕天下"
130435,55.73,1111,3,2006,4,10,0.111,"耕天下"
730436,57.18,1111,3,2006,3,10,0.111,"耕天下"
130437,140.55,3212,3,2006,4,12,0.5,"耕天下"
930438,60.9,2111,4,1994,4,6,0.5,"冠军楼"
730439,78.46,1111,4,2002,3,6,0.333,"宋庄路甲院"
130440,48.21,1111,4,1992,3,6,0.111,"春季星空"
930441,137,3212,4,2005,4,6,0.5,"金鱼池西区"
430442,173.58,3212,3,1996,3,30,0.667,"南纬路院"
630443,134.96,2211,3,1996,3,30,0.5,"南纬路院"
330444,184.07,3212,3,1996,3,30,0.667,"南纬路院"
830445,173.58,3112,3,1996,4,30,0.667,"南纬路院"
330446,273.92,4212,3,1996,3,30,0.667,"南纬路院"
230447,52.22,2111,4,1984,4,5,0.333,"未来"
430448,89.63,2111,4,2009,4,17,0.5,"北纬路院"
430449,89.62,2111,4,2009,4,17,0.5,"北纬路院"
730450,338.05,5313,4,2009,4,9,0.5,"北纬路院"
330451,188,3213,4,2009,3,9,0.5,"北纬路院"
830452,112.95,2212,4,2009,4,16,0.667,"北纬路院"
230453,151,3213,4,2009,4,16,0.667,"北纬路院"
730454,172,111,1,2004,4,26,1,"黑窑厂西里"
130455,170,2212,1,2005,4,31,0.5,"黑窑厂西里"
530456,92,1101,1,2004,4,29,0.5,"黑窑厂西里"
230457,148.88,2112,1,2004,4,29,0.5,"黑窑厂西里"
930458,90.95,3111,4,2002,3,6,0.5,"芳城园二区"
230459,280,4213,4,2011,2,6,1,"里仁街院"
930460,76.46,3011,1,1983,3,16,0.25,"双槐里"
630461,43.23,1111,3,1989,3,14,0.167,"天桥北里"
230462,47.49,1111,4,1979,1,6,0.25,"天桥北里"
730463,61.88,2111,3,1989,1,14,0.143,"天桥北里"
730464,64.34,2111,3,1989,4,14,0.143,"天桥北里"
230465,74.66,3111,3,1989,4,14,0.167,"天桥北里"
430466,52.83,2111,4,1979,4,6,0.25,"天桥北里"
530467,52.83,2111,4,1979,4,6,0.25,"天桥北里"
130468,47.49,1111,4,1979,4,6,0.25,"天桥北里"
530469,46.35,1111,4,1993,3,6,0.25,"清芷园"
230470,53.56,2111,4,1989,4,6,0.5,"芳群园一区"
530471,94,2111,3,2004,4,15,0.5,"嘉和人家"
930472,85.58,2111,4,2003,3,6,0.5,"恋日嘉园二期"
